Pavarde             Vardas              Galutinis (Vid.)    
-------------------------------------------------------------------------
Vardas292           Pavarde292          1.00                
Vardas338           Pavarde338          1.00                
Vardas643           Pavarde643          1.00                
Vardas127           Pavarde127          1.00                
Vardas455           Pavarde455          1.00                
Vardas678           Pavarde678          1.00                
Vardas39            Pavarde39           1.40                
Vardas574           Pavarde574          1.40                
Vardas490           Pavarde490          1.40                
Vardas829           Pavarde829          1.40                
Vardas630           Pavarde630          1.40                
Vardas133           Pavarde133          1.40                
Vardas569           Pavarde569          1.40                
Vardas449           Pavarde449          1.60                
Vardas218           Pavarde218          1.60                
Vardas733           Pavarde733          1.60                
Vardas219           Pavarde219          1.60                
Vardas329           Pavarde329          1.60                
Vardas842           Pavarde842          1.60                
Vardas487           Pavarde487          1.60                
Vardas771           Pavarde771          1.60                
Vardas775           Pavarde775          1.60                
Vardas100           Pavarde100          1.60                
Vardas668           Pavarde668          1.80                
Vardas586           Pavarde586          1.80                
Vardas872           Pavarde872          1.80                
Vardas969           Pavarde969          1.80                
Vardas846           Pavarde846          1.80                
Vardas328           Pavarde328          1.80                
Vardas538           Pavarde538          2.00                
Vardas724           Pavarde724          2.00                
Vardas431           Pavarde431          2.00                
Vardas861           Pavarde861          2.00                
Vardas257           Pavarde257          2.00                
Vardas9             Pavarde9            2.00                
Vardas10            Pavarde10           2.00                
Vardas60            Pavarde60           2.00                
Vardas446           Pavarde446          2.00                
Vardas389           Pavarde389          2.00                
Vardas15            Pavarde15           2.00                
Vardas451           Pavarde451          2.00                
Vardas18            Pavarde18           2.00                
Vardas456           Pavarde456          2.00                
Vardas693           Pavarde693          2.00                
Vardas93            Pavarde93           2.00                
Vardas231           Pavarde231          2.00                
Vardas817           Pavarde817          2.00                
Vardas544           Pavarde544          2.00                
Vardas51            Pavarde51           2.00                
Vardas537           Pavarde537          2.20                
Vardas712           Pavarde712          2.20                
Vardas928           Pavarde928          2.20                
Vardas464           Pavarde464          2.20                
Vardas335           Pavarde335          2.20                
Vardas640           Pavarde640          2.20                
Vardas575           Pavarde575          2.20                
Vardas34            Pavarde34           2.20                
Vardas350           Pavarde350          2.20                
Vardas637           Pavarde637          2.20                
Vardas851           Pavarde851          2.20                
Vardas323           Pavarde323          2.20                
Vardas225           Pavarde225          2.20                
Vardas936           Pavarde936          2.20                
Vardas542           Pavarde542          2.20                
Vardas567           Pavarde567          2.20                
Vardas962           Pavarde962          2.20                
Vardas922           Pavarde922          2.20                
Vardas472           Pavarde472          2.20                
Vardas228           Pavarde228          2.20                
Vardas253           Pavarde253          2.20                
Vardas495           Pavarde495          2.20                
Vardas744           Pavarde744          2.20                
Vardas518           Pavarde518          2.20                
Vardas589           Pavarde589          2.20                
Vardas56            Pavarde56           2.40                
Vardas363           Pavarde363          2.40                
Vardas707           Pavarde707          2.40                
