Pavarde             Vardas              Nd1       Egzaminas 
Pavarde1            Vardas1             6         4         
Pavarde2            Vardas2             9         6         
Pavarde3            Vardas3             6         1         
Pavarde4            Vardas4             10        2         
Pavarde5            Vardas5             6         9         
Pavarde6            Vardas6             10        5         
Pavarde7            Vardas7             2         3         
Pavarde8            Vardas8             6         8         
Pavarde9            Vardas9             2         2         
Pavarde10           Vardas10            2         2         
Pavarde11           Vardas11            3         3         
Pavarde12           Vardas12            1         8         
Pavarde13           Vardas13            7         6         
Pavarde14           Vardas14            9         7         
Pavarde15           Vardas15            2         2         
Pavarde16           Vardas16            7         4         
Pavarde17           Vardas17            1         10        
Pavarde18           Vardas18            2         2         
Pavarde19           Vardas19            4         3         
Pavarde20           Vardas20            8         9         
Pavarde21           Vardas21            10        9         
Pavarde22           Vardas22            9         4         
Pavarde23           Vardas23            9         3         
Pavarde24           Vardas24            6         2         
Pavarde25           Vardas25            1         6         
Pavarde26           Vardas26            8         1         
Pavarde27           Vardas27            10        5         
Pavarde28           Vardas28            2         7         
Pavarde29           Vardas29            10        5         
Pavarde30           Vardas30            1         8         
Pavarde31           Vardas31            8         1         
Pavarde32           Vardas32            4         6         
Pavarde33           Vardas33            4         8         
Pavarde34           Vardas34            1         3         
Pavarde35           Vardas35            9         7         
Pavarde36           Vardas36            10        7         
Pavarde37           Vardas37            3         4         
Pavarde38           Vardas38            8         5         
Pavarde39           Vardas39            2         1         
Pavarde40           Vardas40            2         8         
Pavarde41           Vardas41            10        6         
Pavarde42           Vardas42            4         4         
Pavarde43           Vardas43            2         8         
Pavarde44           Vardas44            4         7         
Pavarde45           Vardas45            4         3         
Pavarde46           Vardas46            10        1         
Pavarde47           Vardas47            7         8         
Pavarde48           Vardas48            10        8         
Pavarde49           Vardas49            5         4         
Pavarde50           Vardas50            7         3         
Pavarde51           Vardas51            2         2         
Pavarde52           Vardas52            5         7         
Pavarde53           Vardas53            7         6         
Pavarde54           Vardas54            8         6         
Pavarde55           Vardas55            7         4         
Pavarde56           Vardas56            3         2         
Pavarde57           Vardas57            2         6         
Pavarde58           Vardas58            7         5         
Pavarde59           Vardas59            7         9         
Pavarde60           Vardas60            2         2         
Pavarde61           Vardas61            9         6         
Pavarde62           Vardas62            7         8         
Pavarde63           Vardas63            3         7         
Pavarde64           Vardas64            9         6         
Pavarde65           Vardas65            2         8         
Pavarde66           Vardas66            7         2         
Pavarde67           Vardas67            7         6         
Pavarde68           Vardas68            3         4         
Pavarde69           Vardas69            5         3         
Pavarde70           Vardas70            10        2         
Pavarde71           Vardas71            4         8         
Pavarde72           Vardas72            10        4         
Pavarde73           Vardas73            1         4         
Pavarde74           Vardas74            7         5         
Pavarde75           Vardas75            7         6         
Pavarde76           Vardas76            9         8         
Pavarde77           Vardas77            10        2         
Pavarde78           Vardas78            10        4         
Pavarde79           Vardas79            6         4         
Pavarde80           Vardas80            7         5         
Pavarde81           Vardas81            1         9         
Pavarde82           Vardas82            3         2         
Pavarde83           Vardas83            10        1         
Pavarde84           Vardas84            9         2         
Pavarde85           Vardas85            10        9         
Pavarde86           Vardas86            1         10        
Pavarde87           Vardas87            9         9         
Pavarde88           Vardas88            6         2         
Pavarde89           Vardas89            10        1         
Pavarde90           Vardas90            3         2         
Pavarde91           Vardas91            2         3         
Pavarde92           Vardas92            8         6         
Pavarde93           Vardas93            2         2         
Pavarde94           Vardas94            8         6         
Pavarde95           Vardas95            6         1         
Pavarde96           Vardas96            1         6         
Pavarde97           Vardas97            10        1         
Pavarde98           Vardas98            5         1         
Pavarde99           Vardas99            9         1         
Pavarde100          Vardas100           1         2         
Pavarde101          Vardas101           8         4         
Pavarde102          Vardas102           10        6         
Pavarde103          Vardas103           6         4         
Pavarde104          Vardas104           4         9         
Pavarde105          Vardas105           10        3         
Pavarde106          Vardas106           8         10        
Pavarde107          Vardas107           2         9         
Pavarde108          Vardas108           8         8         
Pavarde109          Vardas109           5         10        
Pavarde110          Vardas110           9         5         
Pavarde111          Vardas111           7         2         
Pavarde112          Vardas112           5         3         
Pavarde113          Vardas113           9         10        
Pavarde114          Vardas114           6         1         
Pavarde115          Vardas115           8         9         
Pavarde116          Vardas116           6         3         
Pavarde117          Vardas117           10        1         
Pavarde118          Vardas118           4         5         
Pavarde119          Vardas119           5         3         
Pavarde120          Vardas120           5         9         
Pavarde121          Vardas121           3         8         
Pavarde122          Vardas122           1         5         
Pavarde123          Vardas123           6         10        
Pavarde124          Vardas124           4         8         
Pavarde125          Vardas125           4         6         
Pavarde126          Vardas126           8         3         
Pavarde127          Vardas127           1         1         
Pavarde128          Vardas128           10        8         
Pavarde129          Vardas129           10        9         
Pavarde130          Vardas130           8         10        
Pavarde131          Vardas131           4         4         
Pavarde132          Vardas132           5         9         
Pavarde133          Vardas133           2         1         
Pavarde134          Vardas134           9         8         
Pavarde135          Vardas135           5         10        
Pavarde136          Vardas136           6         3         
Pavarde137          Vardas137           2         10        
Pavarde138          Vardas138           3         8         
Pavarde139          Vardas139           6         4         
Pavarde140          Vardas140           4         8         
Pavarde141          Vardas141           7         1         
Pavarde142          Vardas142           2         6         
Pavarde143          Vardas143           3         8         
Pavarde144          Vardas144           9         1         
Pavarde145          Vardas145           3         8         
