Pavarde             Vardas              Galutinis (Vid.)    
-------------------------------------------------------------------------
Vardas757           Pavarde757          5.00                
Vardas787           Pavarde787          5.00                
Vardas826           Pavarde826          5.00                
Vardas859           Pavarde859          5.00                
Vardas877           Pavarde877          5.00                
Vardas903           Pavarde903          5.00                
Vardas905           Pavarde905          5.00                
Vardas906           Pavarde906          5.00                
Vardas977           Pavarde977          5.00                
Vardas984           Pavarde984          5.00                
Vardas154           Pavarde154          5.00                
Vardas156           Pavarde156          5.00                
Vardas167           Pavarde167          5.00                
Vardas277           Pavarde277          5.00                
Vardas291           Pavarde291          5.00                
Vardas28            Pavarde28           5.00                
Vardas311           Pavarde311          5.00                
Vardas393           Pavarde393          5.00                
Vardas422           Pavarde422          5.00                
Vardas126           Pavarde126          5.00                
Vardas533           Pavarde533          5.00                
Vardas621           Pavarde621          5.00                
Vardas625           Pavarde625          5.00                
Vardas660           Pavarde660          5.00                
Vardas672           Pavarde672          5.00                
Vardas727           Pavarde727          5.00                
Vardas741           Pavarde741          5.00                
Vardas949           Pavarde949          5.20                
Vardas995           Pavarde995          5.20                
Vardas32            Pavarde32           5.20                
Vardas812           Pavarde812          5.20                
Vardas924           Pavarde924          5.20                
Vardas125           Pavarde125          5.20                
Vardas779           Pavarde779          5.20                
Vardas785           Pavarde785          5.20                
Vardas716           Pavarde716          5.20                
Vardas925           Pavarde925          5.20                
Vardas12            Pavarde12           5.20                
Vardas804           Pavarde804          5.20                
Vardas16            Pavarde16           5.20                
Vardas399           Pavarde399          5.20                
Vardas993           Pavarde993          5.20                
Vardas813           Pavarde813          5.20                
Vardas262           Pavarde262          5.20                
Vardas176           Pavarde176          5.20                
Vardas30            Pavarde30           5.20                
Vardas714           Pavarde714          5.20                
Vardas749           Pavarde749          5.20                
Vardas673           Pavarde673          5.20                
Vardas675           Pavarde675          5.20                
Vardas743           Pavarde743          5.20                
Vardas844           Pavarde844          5.20                
Vardas382           Pavarde382          5.20                
Vardas911           Pavarde911          5.20                
Vardas378           Pavarde378          5.20                
Vardas309           Pavarde309          5.20                
Vardas77            Pavarde77           5.20                
Vardas4             Pavarde4            5.20                
Vardas55            Pavarde55           5.20                
Vardas306           Pavarde306          5.20                
Vardas698           Pavarde698          5.20                
Vardas721           Pavarde721          5.20                
Vardas765           Pavarde765          5.20                
Vardas631           Pavarde631          5.20                
Vardas800           Pavarde800          5.20                
Vardas426           Pavarde426          5.20                
Vardas414           Pavarde414          5.20                
Vardas70            Pavarde70           5.20                
Vardas933           Pavarde933          5.40                
Vardas873           Pavarde873          5.40                
Vardas732           Pavarde732          5.40                
Vardas430           Pavarde430          5.40                
Vardas653           Pavarde653          5.40                
Vardas592           Pavarde592          5.40                
Vardas23            Pavarde23           5.40                
Vardas210           Pavarde210          5.40                
Vardas187           Pavarde187          5.40                
Vardas974           Pavarde974          5.40                
Vardas159           Pavarde159          5.40                
Vardas318           Pavarde318          5.40                
Vardas531           Pavarde531          5.40                
Vardas888           Pavarde888          5.40                
Vardas406           Pavarde406          5.40                
Vardas502           Pavarde502          5.40                
Vardas764           Pavarde764          5.40                
Vardas326           Pavarde326          5.40                
Vardas516           Pavarde516          5.40                
Vardas833           Pavarde833          5.40                
Vardas798           Pavarde798          5.40                
Vardas904           Pavarde904          5.40                
Vardas301           Pavarde301          5.40                
Vardas63            Pavarde63           5.40                
Vardas450           Pavarde450          5.40                
Vardas372           Pavarde372          5.40                
Vardas336           Pavarde336          5.60                
Vardas676           Pavarde676          5.60                
Vardas271           Pavarde271          5.60                
Vardas166           Pavarde166          5.60                
Vardas493           Pavarde493          5.60                
Vardas917           Pavarde917          5.60                
Vardas101           Pavarde101          5.60                
Vardas251           Pavarde251          5.60                
Vardas615           Pavarde615          5.60                
Vardas40            Pavarde40           5.60                
Vardas43            Pavarde43           5.60                
Vardas950           Pavarde950          5.60                
Vardas599           Pavarde599          5.60                
Vardas409           Pavarde409          5.60                
Vardas836           Pavarde836          5.60                
Vardas671           Pavarde671          5.60                
Vardas788           Pavarde788          5.60                
Vardas822           Pavarde822          5.60                
Vardas898           Pavarde898          5.60                
Vardas65            Pavarde65           5.60                
Vardas587           Pavarde587          5.60                
Vardas551           Pavarde551          5.60                
Vardas616           Pavarde616          5.60                
Vardas325           Pavarde325          5.60                
Vardas994           Pavarde994          5.60                
Vardas583           Pavarde583          5.80                
Vardas915           Pavarde915          5.80                
Vardas232           Pavarde232          5.80                
Vardas439           Pavarde439          5.80                
Vardas550           Pavarde550          5.80                
Vardas81            Pavarde81           5.80                
Vardas428           Pavarde428          5.80                
Vardas878           Pavarde878          5.80                
Vardas513           Pavarde513          5.80                
Vardas105           Pavarde105          5.80                
Vardas441           Pavarde441          5.80                
Vardas914           Pavarde914          5.80                
Vardas442           Pavarde442          5.80                
